En,Zh,ImgBaseName,AudioBaseName
"DISCOVERED THE NEW AVATAR, AN AIRBENDER NAMED AANG. AND ALTHOUGH HIS AIRBENDING SKILLS ARE GREAT,",他叫作安，是名截氣神通,17723458953070.jpg,17723458953100973.mp3
"Katara, voice-over: WATER, EARTH,",善水…,17723460821770.jpg,17723460821780574.mp3
"Katara, voice-over: WATER, EARTH,",強土…,17723460843820.jpg,17723460843830372.mp3
"FIRE, AIR...",烈火…,17723460865960.jpg,17723460865970361.mp3
"FIRE, AIR...",和氣…,17723460888380.jpg,17723460888390887.mp3
"LONG AGO, THE 4 NATIONS LIVED TOGETHER IN HARMONY.",很久很久以前 這四個國家和諧相處,17723460934910.jpg,17723460934920884.mp3
"THEN, EVERYTHING CHANGED WHEN THE FIRE NATION ATTACKED.",但當烈火國發起進攻的那刻起 一切都改變了,17723460981620.jpg,17723460981630170.mp3
"ONLY THE AVATAR, MASTER OF ALL 4 ELEMENTS, COULD STOP THEM. BUT WHEN THE WORLD NEEDED HIM MOST,",唯有四大元素皆精通的神通王 有能力阻止他們,17723461034170.jpg,17723461034180603.mp3
"BUT WHEN THE WORLD NEEDED HIM MOST, HE VANISHED.",但當世界最需要他的時候 他卻消失無蹤,17723461072150.jpg,17723461072150927.mp3
"100 YEARS PASSED, AND MY BROTHER AND I DISCOVERED THE NEW AVATAR, AN AIRBENDER NAMED AANG.",一百年過去了 我和我哥哥發現了新任神通王,17723461124680.jpg,17723461124690853.mp3
"DISCOVERED THE NEW AVATAR, AN AIRBENDER NAMED AANG. AND ALTHOUGH HIS AIRBENDING SKILLS ARE GREAT,",他叫作安，是名截氣神通,17723461153010.jpg,17723461153020583.mp3
"AND ALTHOUGH HIS AIRBENDING SKILLS ARE GREAT, HE HAS A LOT TO LEARN BEFORE HE'S READY TO SAVE ANYONE.",雖然他的截氣神功技藝高強,17723461186780.jpg,17723461186790908.mp3
HE HAS A LOT TO LEARN BEFORE HE'S READY TO SAVE ANYONE. UFF!,但要想拯救眾人 他還有很多需要學習的,17723461226360.jpg,17723461226370999.mp3
BUT I BELIEVE AANG CAN SAVE THE WORLD.,但我相信安必能拯救世界,17723461271400.jpg,17723461271410134.mp3
YAY! YAY! AANG'S BACK!,耶！安回來了！,17723461303920.jpg,17723461303930553.mp3
"I KNEW IT. YOU SIGNALED THE FIRE NAVY WITH THAT FLARE. YOU'RE LEADING THEM STRAIGHT TO US, AREN'T YOU?",我就知道！ 你用那火光跟烈火海軍打信號！,17723461349770.jpg,1772346134978077.mp3
"YOU'RE LEADING THEM STRAIGHT TO US, AREN'T YOU? AANG DIDN'T DO ANYTHING.",你要把他們直直引過來對不對？,17723461383110.jpg,17723461383120662.mp3
"AANG DIDN'T DO ANYTHING. IT WAS AN ACCIDENT. YEAH, WE WERE ON THE SHIP",安什麼都沒做，只是場意外而已,17723461422740.jpg,17723461422750886.mp3
"YEAH, WE WERE ON THE SHIP AND THERE WAS THIS BOOBY TRAP AND, WELL, WE--",對啊，我們到那艘船去，上面有詭雷,17723461464420.jpg,17723461464430812.mp3
"AND, WELL, WE-- WE BOOBIED RIGHT INTO IT. KATARA, YOU SHOULDN'T HAVE GONE ON THAT SHIP.",然後我們就…直接一腳踩進去,17723461505290.jpg,17723461505290913.mp3
"KATARA, YOU SHOULDN'T HAVE GONE ON THAT SHIP. NOW WE COULD ALL BE IN DANGER.",卡塔拉，妳不該去那艘船上的,17723461548230.jpg,17723461548230286.mp3
NOW WE COULD ALL BE IN DANGER.,現在我們可能都有危險了！,17723461577800.jpg,17723461577810620.mp3
DON'T BLAME KATARA. I BROUGHT HER THERE. IT'S MY FAULT.,別怪卡塔拉，是我帶她去的 都是我的錯,17723461628710.jpg,1772346162872019.mp3
"THE TRAITOR CONFESSES! WARRIORS, AWAY FROM THE ENEMY! THE FOREIGNER IS BANISHED FROM OUR VILLAGE.",叛徒自白了！ 戰士們快離開敵人身邊！,17723461673710.jpg,17723461673720952.mp3
"THE FOREIGNER IS BANISHED FROM OUR VILLAGE. SOKKA, YOU'RE MAKING A MISTAKE.",這個外人要被放逐出我們村子！,17723461711250.jpg,17723461711260964.mp3
"SOKKA, YOU'RE MAKING A MISTAKE. NO, I'M KEEPING MY PROMISE TO DAD.",蘇卡，你是在犯大錯,17723461739150.jpg,17723461739160705.mp3
"NO, I'M KEEPING MY PROMISE TO DAD. I'M PROTECTING YOU FROM THREATS LIKE HIM. AANG IS NOT OUR ENEMY.",不，我是在信守對爸爸的承諾 我要保護妳不受他這樣的威脅,17723461796410.jpg,17723461796420801.mp3
AANG IS NOT OUR ENEMY. DON'T YOU SEE?,安不是我們的敵人！,17723461830630.jpg,17723461830640746.mp3
DON'T YOU SEE? AANG'S BROUGHT US SOMETHING,你看不出來嗎？,17723461861030.jpg,1772346186104061.mp3
AANG'S BROUGHT US SOMETHING WE HAVEN'T HAD IN A LONG TIME--FUN. FUN? WE CAN'T FIGHT FIREBENDERS WITH FUN!,安帶給我們失去已久的歡樂,17723461912330.jpg,17723461912340287.mp3
